Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777911274,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777911275,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777911276,3,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777911277,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777911278,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777911279,6,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777911280,7,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777911281,8,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777911282,9,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777911283,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777911284,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777911285,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777911286,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777911287,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777911288,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777911289,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777911290,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777911292,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777911293,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777911294,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777911295,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777911296,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777911297,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777911298,10,,Aggregated,0.000000,0.000000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,1,0,22785.820500022965,22785.820500022965,22785.820500022965,22785.820500022965,1141.0
1777911299,10,,Aggregated,0.000000,0.000000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,1,0,22785.820500022965,22785.820500022965,22785.820500022965,22785.820500022965,1141.0
1777911300,10,,Aggregated,0.000000,0.000000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,1,0,22785.820500022965,22785.820500022965,22785.820500022965,22785.820500022965,1141.0
1777911301,10,,Aggregated,0.000000,0.000000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,1,0,22785.820500022965,22785.820500022965,22785.820500022965,22785.820500022965,1141.0
1777911302,10,,Aggregated,0.000000,0.000000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,1,0,22785.820500022965,22785.820500022965,22785.820500022965,22785.820500022965,1141.0
1777911303,10,,Aggregated,0.000000,0.000000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,1,0,22785.820500022965,22785.820500022965,22785.820500022965,22785.820500022965,1141.0
1777911304,10,,Aggregated,0.100000,0.000000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,2,0,23000,25338.66890000354,22785.820500022965,27891.517299984116,1145.0
1777911305,10,,Aggregated,0.100000,0.000000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,2,0,23000,25338.66890000354,22785.820500022965,27891.517299984116,1145.0
1777911306,10,,Aggregated,0.100000,0.000000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,2,0,23000,25338.66890000354,22785.820500022965,27891.517299984116,1145.0
1777911307,10,,Aggregated,0.100000,0.000000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,2,0,23000,25338.66890000354,22785.820500022965,27891.517299984116,1145.0
1777911308,10,,Aggregated,0.100000,0.000000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,2,0,23000,25338.66890000354,22785.820500022965,27891.517299984116,1145.0
1777911309,10,,Aggregated,0.100000,0.000000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,2,0,23000,25338.66890000354,22785.820500022965,27891.517299984116,1145.0
1777911310,10,,Aggregated,0.100000,0.000000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,2,0,23000,25338.66890000354,22785.820500022965,27891.517299984116,1145.0
1777911311,10,,Aggregated,0.100000,0.000000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,2,0,23000,25338.66890000354,22785.820500022965,27891.517299984116,1145.0
1777911312,10,,Aggregated,0.100000,0.000000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,2,0,23000,25338.66890000354,22785.820500022965,27891.517299984116,1145.0
1777911313,10,,Aggregated,0.100000,0.000000,28000,28000,36000,36000,36000,36000,36000,36000,36000,36000,36000,3,0,28000,28901.906800000386,22785.820500022965,36028.382599994075,1066.0
1777911314,10,,Aggregated,0.100000,0.000000,28000,28000,36000,36000,36000,36000,36000,36000,36000,36000,36000,3,0,28000,28901.906800000386,22785.820500022965,36028.382599994075,1066.0
1777911315,10,,Aggregated,0.100000,0.000000,28000,28000,36000,36000,36000,36000,36000,36000,36000,36000,36000,3,0,28000,28901.906800000386,22785.820500022965,36028.382599994075,1066.0
1777911316,10,,Aggregated,0.100000,0.000000,28000,28000,36000,36000,36000,36000,36000,36000,36000,36000,36000,3,0,28000,28901.906800000386,22785.820500022965,36028.382599994075,1066.0
1777911317,10,,Aggregated,0.100000,0.000000,36000,36000,38000,38000,38000,38000,38000,38000,38000,38000,38000,4,0,28000,31296.050149998337,22785.820500022965,38478.48019999219,1085.0
1777911318,10,,Aggregated,0.100000,0.000000,36000,36000,38000,38000,38000,38000,38000,38000,38000,38000,38000,4,0,28000,31296.050149998337,22785.820500022965,38478.48019999219,1085.0
1777911319,10,,Aggregated,0.100000,0.000000,36000,36000,38000,38000,38000,38000,38000,38000,38000,38000,38000,4,0,28000,31296.050149998337,22785.820500022965,38478.48019999219,1085.0
1777911320,10,,Aggregated,0.100000,0.000000,36000,36000,38000,38000,38000,38000,38000,38000,38000,38000,38000,4,0,28000,31296.050149998337,22785.820500022965,38478.48019999219,1085.0
1777911321,10,,Aggregated,0.100000,0.000000,36000,36000,38000,38000,38000,38000,38000,38000,38000,38000,38000,4,0,28000,31296.050149998337,22785.820500022965,38478.48019999219,1085.0
1777911322,10,,Aggregated,0.200000,0.000000,36000,38000,38000,43000,43000,43000,43000,43000,43000,43000,43000,5,0,36000,33669.30016000406,22785.820500022965,43162.30020002695,1103.8
1777911323,10,,Aggregated,0.200000,0.000000,36000,38000,38000,43000,43000,43000,43000,43000,43000,43000,43000,5,0,36000,33669.30016000406,22785.820500022965,43162.30020002695,1103.8
1777911324,10,,Aggregated,0.200000,0.000000,36000,38000,38000,43000,43000,43000,43000,43000,43000,43000,43000,5,0,36000,33669.30016000406,22785.820500022965,43162.30020002695,1103.8
1777911325,10,,Aggregated,0.200000,0.000000,36000,38000,38000,43000,43000,43000,43000,43000,43000,43000,43000,5,0,36000,33669.30016000406,22785.820500022965,43162.30020002695,1103.8
1777911326,10,,Aggregated,0.200000,0.000000,36000,38000,38000,43000,43000,43000,43000,43000,43000,43000,43000,5,0,36000,33669.30016000406,22785.820500022965,43162.30020002695,1103.8
1777911327,10,,Aggregated,0.200000,0.000000,36000,38000,38000,43000,43000,43000,43000,43000,43000,43000,43000,5,0,36000,33669.30016000406,22785.820500022965,43162.30020002695,1103.8
1777911328,10,,Aggregated,0.200000,0.000000,36000,38000,38000,43000,43000,43000,43000,43000,43000,43000,43000,5,0,36000,33669.30016000406,22785.820500022965,43162.30020002695,1103.8
1777911329,10,,Aggregated,0.200000,0.000000,36000,38000,38000,43000,43000,43000,43000,43000,43000,43000,43000,5,0,36000,33669.30016000406,22785.820500022965,43162.30020002695,1103.8
1777911330,10,,Aggregated,0.200000,0.000000,36000,38000,38000,43000,43000,43000,43000,43000,43000,43000,43000,5,0,36000,33669.30016000406,22785.820500022965,43162.30020002695,1103.8
